timestamp,tipoFruta,lote,temperatura,umidade_ar,mq3_raw,mq3_tensao,estado_previsto,estado_real,validade
2025-12-04 17:35:32.868000,tomate,lote_Tarde_1,26.6,76.4,1181,0.951722,risco de perda,sem risco,0
2025-12-04 17:36:32.704000,tomate,lote_Tarde_1,26.6,75.3,1094,0.881612,alerta,sem risco,12
2025-12-04 17:37:32.813000,tomate,lote_Tarde_1,26.7,76.2,1027,0.827619,madura,sem risco,48
2025-12-04 17:38:32.719000,tomate,lote_Tarde_1,26.8,77.3,970,0.781685,sem risco,sem risco,
2025-12-04 17:39:32.778000,tomate,lote_Tarde_1,26.8,73.9,933,0.751868,sem risco,sem risco,
2025-12-04 17:40:32.663000,tomate,lote_Tarde_1,26.8,73.0,951,0.766374,sem risco,sem risco,
2025-12-04 17:41:32.654000,tomate,lote_Tarde_1,26.9,73.2,985,0.793773,sem risco,sem risco,
2025-12-04 17:42:32.676000,tomate,lote_Tarde_1,26.9,73.3,963,0.776044,sem risco,sem risco,
2025-12-04 17:43:32.750000,tomate,lote_Tarde_1,26.9,72.7,959,0.772821,sem risco,sem risco,
2025-12-04 17:44:32.723000,tomate,lote_Tarde_1,27.0,72.5,950,0.765568,sem risco,sem risco,
2025-12-04 17:45:32.762000,tomate,lote_Tarde_1,26.9,72.9,938,0.755897,sem risco,sem risco,
2025-12-04 17:46:32.771000,tomate,lote_Tarde_1,27.0,72.8,920,0.741392,sem risco,sem risco,
2025-12-04 17:47:32.773000,tomate,lote_Tarde_1,27.0,72.4,910,0.733333,sem risco,sem risco,
2025-12-04 17:48:32.677000,tomate,lote_Tarde_1,27.0,71.5,912,0.734945,sem risco,sem risco,
2025-12-04 17:49:32.823000,tomate,lote_Tarde_1,27.0,72.5,915,0.737363,sem risco,sem risco,
2025-12-04 17:50:32.682000,tomate,lote_Tarde_1,27.0,73.5,913,0.735751,sem risco,sem risco,
2025-12-04 17:51:32.759000,tomate,lote_Tarde_1,27.0,73.9,910,0.733333,sem risco,sem risco,
2025-12-04 17:52:32.860000,tomate,lote_Tarde_1,27.0,74.6,906,0.73011,sem risco,sem risco,
