"data_registro","registro_anterior","intervalo"
"2026-03-24 19:47:50.492",NULL,NULL
"2026-03-31 03:24:30.834","2026-03-30 15:28:56.882","11:55:33.952"
"2026-04-09 14:14:17.53","2026-04-09 05:56:03.779","08:18:13.751"
"2026-04-09 05:55:17.06","2026-04-08 22:14:19.921","07:40:57.139"
"2026-04-01 19:48:12.941","2026-04-01 15:19:26.433","04:28:46.508"
"2026-03-31 21:39:27.478","2026-03-31 17:11:46.498","04:27:40.98"
"2026-04-09 16:51:33.206","2026-04-09 14:14:18.492","02:37:14.714"
"2026-03-29 20:05:15.829","2026-03-29 19:05:15.669","01:00:00.16"
"2026-04-08 22:14:19.808","2026-04-08 21:31:04.628","00:43:15.18"
"2026-04-04 12:43:25.707","2026-04-04 12:28:21.507","00:15:04.2"
"2026-04-04 15:18:21.643","2026-04-04 15:08:20.142","00:10:01.501"
"2026-04-04 13:38:20.035","2026-04-04 13:28:19.824","00:10:00.211"
"2026-04-07 15:46:00.658","2026-04-07 15:36:00.46","00:10:00.198"
"2026-04-02 23:43:15.709","2026-04-02 23:33:15.544","00:10:00.165"
"2026-04-04 14:43:20.105","2026-04-04 14:33:20.182","00:09:59.923"
"2026-04-04 02:33:19.641","2026-04-04 02:23:22.502","00:09:57.139"
"2026-03-29 22:18:55.353","2026-03-29 22:10:15.993","00:08:39.36"
"2026-03-31 03:41:44.265","2026-03-31 03:34:30.963","00:07:13.302"
"2026-04-06 20:30:58.595","2026-04-06 20:23:46.715","00:07:11.88"
"2026-03-28 16:05:13.579","2026-03-28 15:58:19.769","00:06:53.81"
