"tipo_fruta","mq3_raw","temperatura","umidade_ar","validade","estado_real","estado_previsto","data_registro"
"banana",4074,30.80,92,0.00,"Risco de Perda","Risco de Perda","2026-04-03 23:28:18.68"
"banana",4072,30.80,92,0.00,"Risco de Perda","Risco de Perda","2026-04-03 23:43:18.792"
"banana",4072,30.20,92,0.00,"Risco de Perda","Risco de Perda","2026-04-04 00:03:18.65"
"banana",4070,30.20,92,0.00,"Risco de Perda","Risco de Perda","2026-04-04 00:18:18.653"
"banana",4070,30.80,92,0.00,"Risco de Perda","Risco de Perda","2026-04-03 23:48:19.684"
"banana",4069,30.50,92,0.00,"Risco de Perda","Risco de Perda","2026-04-03 23:58:18.618"
"banana",4068,30.20,92,0.00,"Risco de Perda","Risco de Perda","2026-04-04 00:53:18.701"
"banana",4068,30.20,92,0.00,"Risco de Perda","Risco de Perda","2026-04-04 00:28:18.791"
"banana",4068,30.20,92,0.00,"Risco de Perda","Risco de Perda","2026-04-04 00:38:19.479"
"banana",4067,30.20,92,0.00,"Risco de Perda","Risco de Perda","2026-04-04 00:08:18.89"
