timestamp,tipoFruta,lote,temperatura,umidade_ar,mq3_raw,mq3_tensao,estado_previsto,estado_real,validade
2025-12-09 12:41:20.461000,ambiente,lote_[teste_banana_passada],24.6,76.5,1877,1.512601,sem risco,sem risco,
2025-12-09 12:42:21.494000,ambiente,lote_[teste_banana_passada],24.7,76.6,1656,1.334505,sem risco,sem risco,
2025-12-09 12:43:20.354000,ambiente,lote_[teste_banana_passada],24.7,76.7,1500,1.208791,sem risco,sem risco,
2025-12-09 12:44:20.353000,ambiente,lote_[teste_banana_passada],24.7,76.7,1378,1.110476,sem risco,sem risco,
2025-12-09 12:45:20.751000,ambiente,lote_[teste_banana_passada],24.8,76.8,1268,1.021832,sem risco,sem risco,
2025-12-09 12:46:20.548000,ambiente,lote_[teste_banana_passada],24.8,76.7,1191,0.95978,sem risco,sem risco,
2025-12-09 12:47:21.526000,ambiente,lote_[teste_banana_passada],24.9,76.8,1150,0.92674,sem risco,sem risco,
2025-12-09 12:48:21.609000,ambiente,lote_[teste_banana_passada],24.9,76.8,1091,0.879194,sem risco,sem risco,
2025-12-09 12:49:20.624000,ambiente,lote_[teste_banana_passada],24.9,76.8,1018,0.820366,sem risco,sem risco,
2025-12-09 12:50:20.950000,ambiente,lote_[teste_banana_passada],25.0,76.7,999,0.805055,sem risco,sem risco,
2025-12-09 12:51:20.520000,ambiente,lote_[teste_banana_passada],25.0,76.7,963,0.776044,sem risco,sem risco,
2025-12-09 12:52:20.426000,ambiente,lote_[teste_banana_passada],25.1,76.8,936,0.754286,sem risco,sem risco,
2025-12-09 12:53:20.430000,ambiente,lote_[teste_banana_passada],25.1,76.4,908,0.731722,sem risco,sem risco,
2025-12-09 12:54:20.507000,ambiente,lote_[teste_banana_passada],25.1,76.3,886,0.713993,sem risco,sem risco,
2025-12-09 12:55:20.358000,ambiente,lote_[teste_banana_passada],25.1,76.2,872,0.702711,sem risco,sem risco,
2025-12-09 12:56:21.689000,ambiente,lote_[teste_banana_passada],25.1,76.1,850,0.684982,sem risco,sem risco,
2025-12-09 12:57:20.750000,ambiente,lote_[teste_banana_passada],25.2,76.0,833,0.671282,sem risco,sem risco,
2025-12-09 12:58:23.372000,ambiente,lote_[teste_banana_passada],25.2,75.7,818,0.659194,sem risco,sem risco,
2025-12-09 12:59:20.454000,ambiente,lote_[teste_banana_passada],25.2,75.5,804,0.647912,sem risco,sem risco,
2025-12-09 13:00:20.375000,ambiente,lote_[teste_banana_passada],25.2,75.5,794,0.639853,sem risco,sem risco,
2025-12-09 13:01:20.614000,ambiente,lote_[teste_banana_passada],25.2,75.3,791,0.637436,sem risco,sem risco,
2025-12-09 13:02:20.351000,ambiente,lote_[teste_banana_passada],25.2,75.2,775,0.624542,sem risco,sem risco,
2025-12-09 13:03:20.370000,ambiente,lote_[teste_banana_passada],25.2,75.1,764,0.615678,sem risco,sem risco,
2025-12-09 13:04:20.570000,ambiente,lote_[teste_banana_passada],25.2,75.0,755,0.608425,sem risco,sem risco,
2025-12-09 13:05:21.256000,ambiente,lote_[teste_banana_passada],25.2,75.0,736,0.593114,sem risco,sem risco,
2025-12-09 13:06:20.389000,ambiente,lote_[teste_banana_passada],25.2,74.8,732,0.58989,sem risco,sem risco,
2025-12-09 13:07:20.575000,ambiente,lote_[teste_banana_passada],25.2,74.7,724,0.583443,sem risco,sem risco,
2025-12-09 13:08:20.523000,ambiente,lote_[teste_banana_passada],25.2,74.7,718,0.578608,sem risco,sem risco,
2025-12-09 13:09:21.684000,ambiente,lote_[teste_banana_passada],25.2,74.5,712,0.573773,sem risco,sem risco,
2025-12-09 13:10:21.319000,ambiente,lote_[teste_banana_passada],25.3,74.5,734,0.591502,sem risco,sem risco,
2025-12-09 13:11:20.535000,ambiente,lote_[teste_banana_passada],25.2,74.2,719,0.579414,sem risco,sem risco,
2025-12-09 13:12:20.496000,ambiente,lote_[teste_banana_passada],25.3,74.3,715,0.57619,sem risco,sem risco,
2025-12-09 13:13:20.793000,ambiente,lote_[teste_banana_passada],25.3,74.1,751,0.605201,sem risco,sem risco,
2025-12-09 13:14:20.504000,ambiente,lote_[teste_banana_passada],25.3,74.0,750,0.604396,sem risco,sem risco,
