timestamp,tipoFruta,lote,temperatura,umidade_ar,mq3_raw,mq3_tensao,estado_previsto,estado_real,validade
2025-12-03 01:07:31.071000,banana,lote1,25.5,67.6,1543,1.243443,sem risco,sem risco,
2025-12-03 01:09:40.566000,banana,lote1,25.5,65.2,1511,1.217656,sem risco,sem risco,
2025-12-03 01:10:58.947000,banana,lote1,25.5,64.9,1579,1.272454,sem risco,sem risco,
2025-12-03 01:11:56.501000,banana,lote1,25.5,65.5,1618,1.303883,sem risco,sem risco,
2025-12-03 01:12:59.193000,banana,lote1,25.5,65.0,1650,1.32967,sem risco,sem risco,
2025-12-03 01:13:56.553000,banana,lote1,25.5,65.2,1703,1.372381,sem risco,sem risco,
2025-12-03 01:14:56.506000,banana,lote1,25.6,67.5,1712,1.379634,sem risco,sem risco,
2025-12-03 01:15:59.210000,banana,lote1,25.6,67.0,1740,1.402198,sem risco,sem risco,
2025-12-03 01:16:59.200000,banana,lote1,25.7,67.3,1758,1.416703,sem risco,sem risco,
2025-12-03 01:17:59.237000,banana,lote1,25.8,68.3,1795,1.44652,sem risco,sem risco,
2025-12-03 01:18:56.507000,banana,lote1,25.8,70.0,1836,1.47956,sem risco,sem risco,
2025-12-03 01:20:59.862000,banana,lote1,26.0,72.0,1879,1.514212,sem risco,sem risco,
2025-12-03 01:21:56.586000,banana,lote1,26.1,72.5,1870,1.50696,sem risco,sem risco,
2025-12-03 01:22:56.515000,banana,lote1,26.2,71.4,1874,1.510183,sem risco,sem risco,
2025-12-03 01:23:56.599000,banana,lote1,26.3,70.8,1890,1.523077,sem risco,sem risco,
2025-12-03 01:24:56.606000,banana,lote1,26.3,71.2,1894,1.5263,sem risco,sem risco,
2025-12-03 01:25:56.613000,banana,lote1,26.4,72.4,1885,1.519048,sem risco,sem risco,
2025-12-03 01:26:56.617000,banana,lote1,26.4,71.7,1899,1.53033,sem risco,sem risco,
2025-12-03 01:27:56.656000,banana,lote1,26.5,70.8,1894,1.5263,sem risco,sem risco,
2025-12-03 01:28:56.630000,banana,lote1,26.6,71.6,1920,1.547253,madura,sem risco,48
2025-12-03 01:29:56.518000,banana,lote1,26.6,70.9,1930,1.555311,madura,sem risco,48
2025-12-03 01:30:56.541000,banana,lote1,26.7,72.0,1937,1.560952,madura,sem risco,48
2025-12-03 01:31:56.550000,banana,lote1,26.8,71.9,1923,1.54967,madura,sem risco,48
2025-12-03 01:32:56.558000,banana,lote1,26.8,72.7,1911,1.54,madura,sem risco,48
2025-12-03 01:33:56.560000,banana,lote1,26.8,72.6,1778,1.432821,sem risco,sem risco,
2025-12-03 01:34:56.568000,banana,lote1,26.9,73.0,1781,1.435238,sem risco,sem risco,
2025-12-03 01:35:56.551000,banana,lote1,26.9,71.1,1591,1.282125,sem risco,sem risco,
2025-12-03 02:41:05.066000,banana,lote_Madrugada,26.8,74.5,1582,1.274872,sem risco,sem risco,
2025-12-03 02:42:19.825000,banana,lote_Madrugada,26.9,74.5,1562,1.258755,sem risco,sem risco,
2025-12-03 02:43:19.413000,banana,lote_Madrugada,27.0,74.9,1591,1.282125,sem risco,sem risco,
2025-12-03 02:44:18.974000,banana,lote_Madrugada,27.0,74.8,1599,1.288571,sem risco,sem risco,
2025-12-03 02:45:19.629000,banana,lote_Madrugada,27.0,74.9,1621,1.3063,sem risco,sem risco,
2025-12-03 02:46:19.082000,banana,lote_Madrugada,27.1,74.6,1627,1.311136,sem risco,sem risco,
2025-12-03 02:47:19.028000,banana,lote_Madrugada,27.1,74.7,1424,1.147546,sem risco,sem risco,
2025-12-03 02:48:18.960000,banana,lote_Madrugada,27.1,74.6,1498,1.20718,sem risco,sem risco,
2025-12-03 03:37:22.245000,banana,lote_Madrugada,27.1,71.4,1533,1.235385,sem risco,sem risco,
2025-12-03 03:37:22.334000,banana,lote_Madrugada,27.2,72.1,1518,1.223297,sem risco,sem risco,
2025-12-03 03:37:22.426000,banana,lote_Madrugada,27.1,72.3,1558,1.255531,sem risco,sem risco,
2025-12-03 03:37:22.517000,banana,lote_Madrugada,27.2,72.5,1536,1.237802,sem risco,sem risco,
2025-12-03 03:37:22.576000,banana,lote_Madrugada,27.2,72.4,1561,1.257949,sem risco,sem risco,
2025-12-03 03:37:22.720000,banana,lote_Madrugada,27.2,72.7,1582,1.274872,sem risco,sem risco,
2025-12-03 03:37:22.763000,banana,lote_Madrugada,27.2,72.8,1570,1.265201,sem risco,sem risco,
2025-12-03 03:37:22.849000,banana,lote_Madrugada,27.2,72.1,1562,1.258755,sem risco,sem risco,
2025-12-03 03:37:22.911000,banana,lote_Madrugada,27.2,71.6,1539,1.24022,sem risco,sem risco,
2025-12-03 03:37:23.008000,banana,lote_Madrugada,27.2,71.6,1536,1.237802,sem risco,sem risco,
2025-12-03 03:37:23.138000,banana,lote_Madrugada,27.1,71.4,1531,1.233773,sem risco,sem risco,
2025-12-03 03:37:23.209000,banana,lote_Madrugada,27.2,71.7,1574,1.268425,sem risco,sem risco,
2025-12-03 03:37:23.269000,banana,lote_Madrugada,27.1,72.1,1567,1.262784,sem risco,sem risco,
2025-12-03 03:37:23.352000,banana,lote_Madrugada,27.2,71.5,1529,1.232161,sem risco,sem risco,
2025-12-03 03:37:23.403000,banana,lote_Madrugada,27.1,71.4,1576,1.270037,sem risco,sem risco,
